S.no,vegetableName,price,imageProperties_vegetableHeight,imageProperties_vegetableWidth,imageProperties_vegetableTop,units,id,shopingMallPrice,retailPrice,table_imageUrl,table_imageSize,table_heightRatio,date
1,Onion Big,40,64,64,0,1kg,onionBig,48 - 66,46 - 51,resource/images/vegetables/onionBig-64.png,1,1,1/26/2022
2,Onion Small,63,60,64,64,1kg,onionSmall,76 - 104,72 - 80,resource/images/vegetables/onionSmall-64.png,1,0.94,1/26/2022
3,Tomato,19,50,64,124,1kg,tomato,23 - 31,22 - 24,resource/images/vegetables/tomato-64.png,1.2,0.77,1/26/2022
4,Green Chilli,43,69,64,174,1kg,greenChili,52 - 71,49 - 55,resource/images/vegetables/greenChili-64.png,1,1.08,1/26/2022
5,Beetroot,49,93,64,243,1kg,beetroot,59 - 81,56 - 62,resource/images/vegetables/beetroot-64.png,0.8,1.43,1/26/2022
6,Potato,22,64,90,400,1kg,potato,26 - 36,25 - 28,resource/images/vegetables/potato-64.png,1,0.72,1/26/2022
7,Raw Banana (Plantain),6,64,97,336,1kg,plantain,10-Jul,8-Jul,resource/images/vegetables/plantain-64.png,1.2,0.66,1/26/2022
8,Amaranth Leaves,16,64,78,613,1kg,amaranthLeaves,19 - 26,18 - 20,resource/images/vegetables/amaranthLeaves-64.png,1,0.82,1/26/2022
9,Amla,50,64,88,677,1kg,amla,60 - 83,58 - 64,resource/images/vegetables/amla-64.png,1.2,0.72,1/26/2022
10,Ash gourd,21,64,109,741,1kg,ashGourd,25 - 35,24 - 27,resource/images/vegetables/ashGourd-64.png,1,0.59,1/26/2022
11,Baby Corn,55,64,100,805,1kg,babyCorn,66 - 91,63 - 70,resource/images/vegetables/babyCorn-64.png,1,0.64,1/26/2022
12,Banana Flower,17,64,107,869,1kg,bananaFlower,20 - 28,20 - 22,resource/images/vegetables/bananaFlower-64.png,1.2,0.61,1/26/2022
13,Capsicum,41,81,64,933,1kg,capsicum,49 - 68,47 - 52,resource/images/vegetables/capsicum-64.png,0.8,1.26,1/26/2022
14,Bitter Gourd,34,64,87,1101,1kg,bitterGourd,41 - 56,39 - 43,resource/images/vegetables/bitterGourd-64.png,1.2,0.75,1/26/2022
15,Bottle Gourd,24,64,64,1165,1kg,bottleGourd,29 - 40,28 - 30,resource/images/vegetables/bottleGourd-64.png,1.2,1,1/26/2022
16,Butter Beans,46,64,82,1229,1kg,butterBeans,55 - 76,53 - 58,resource/images/vegetables/butterBeans-64.png,1.1,0.8,1/26/2022
17,Broad Beans,44,64,96,1293,1kg,broadBeans,53 - 73,51 - 56,resource/images/vegetables/broadBeans-64.png,1.2,0.66,1/26/2022
18,Cabbage,30,64,70,1357,1kg,cabbage,36 - 50,35 - 38,resource/images/vegetables/cabbage-64.png,1,0.92,1/26/2022
